time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-05T08:46:29.400Z,36.7644997,-121.3791656,8.98,1.46,md,8,152,0.02626,0.29,nc,nc72979336,2018-03-05T10:11:02.907Z,"6km SSW of Ridgemark, CA",earthquake,5.65,8.09,0.14,7,automatic,nc,nc
2018-03-05T08:40:32.080Z,36.1843333,-117.8505,1.99,1.24,ml,17,105,0.06671,0.12,ci,ci37888383,2018-03-05T14:17:30.115Z,"18km SE of Olancha, CA",earthquake,0.32,0.41,0.266,17,reviewed,ci,ci
2018-03-05T08:32:26.474Z,62.9954,-149.137,57.9,2.3,ml,,,,0.7,ak,ak18587738,2018-03-05T08:45:04.414Z,"45km SSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-05T08:30:24.530Z,33.496,-116.8008333,3.3,2.17,ml,90,30,0.08722,0.22,ci,ci37888375,2018-03-05T08:41:27.010Z,"8km NE of Aguanga, CA",earthquake,0.17,0.64,0.17,26,automatic,ci,ci
2018-03-05T08:24:48.750Z,33.4905,-116.7965,4.47,1.68,ml,69,33,0.08959,0.21,ci,ci37888367,2018-03-05T14:21:49.490Z,"8km NE of Aguanga, CA",earthquake,0.18,0.52,0.148,26,reviewed,ci,ci
2018-03-05T08:20:56.489Z,59.5965,-150.4891,52.2,1.1,ml,,,,0.26,ak,ak18587736,2018-03-05T08:23:46.386Z,"48km ESE of Fritz Creek, Alaska",earthquake,,1,,,automatic,ak,ak
2018-03-05T08:12:42.237Z,56.3925,-149.5713,32.2,2.9,ml,,,,0.75,ak,ak18587733,2018-03-05T08:29:28.604Z,"231km SE of Kodiak, Alaska",earthquake,,4.1,,,automatic,ak,ak
2018-03-05T08:12:34.990Z,18.1415,-67.0073,26,1.55,md,3,257,0.0857,0.24,pr,pr2018064002,2018-03-05T11:43:16.891Z,"5km SSW of Maricao, Puerto Rico",earthquake,5.59,2.63,0.29,3,reviewed,pr,pr
2018-03-05T08:11:42.320Z,36.2854996,-120.7836685,8.83,1.67,md,13,185,0.07089,0.05,nc,nc72979306,2018-03-05T09:16:02.782Z,"18km SW of New Idria, CA",earthquake,0.44,0.64,0.26,9,automatic,nc,nc
2018-03-05T08:09:45.995Z,38.3513,-118.9154,8.3,1.5,ml,20,50.83,0.158,0.1796,nn,nn00624263,2018-03-05T16:28:33.302Z,"29km ENE of Bridgeport, California",earthquake,,3,0.27,7,reviewed,nn,nn
2018-03-05T08:07:10.457Z,62.2784,-150.0673,17.2,1.2,ml,,,,0.26,ak,ak18587731,2018-03-05T08:10:31.441Z,"5km SSE of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T07:57:23.190Z,33.75,-117.4988333,10.65,1.78,ml,71,31,0.02103,0.25,ci,ci37888359,2018-03-05T14:21:54.430Z,"13km NE of Trabuco Canyon, CA",earthquake,0.29,0.45,0.213,26,reviewed,ci,ci
2018-03-05T07:50:00.130Z,64.1621,-150.0031,8.3,1.3,ml,,,,0.64,ak,ak18587699,2018-03-05T07:57:17.060Z,"61km NW of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
